,id,title,release_date,genres,original_language,vote_average,vote_count,popularity,overview,budget,production_companies,revenue,runtime,tagline,release_year,release_month
0,758323,The Pope's Exorcist,2023-04-05,"['Horror', 'Mystery', 'Thriller']",English,7.4,619,5089.969,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",18000000,"['Screen Gems', '2.0 Entertainment', 'Jesus & Mary', 'Worldwide Katz', 'Loyola Productions', 'FFILME.RO']",65675816,103,"Inspired by the actual files of Father Gabriele Amorth, Chief Exorcist of the Vatican.",2023,04
1,640146,Ant-Man and the Wasp: Quantumania,2023-02-15,"['Action', 'Adventure', 'Science Fiction']",English,6.6,2294,4665.438,"Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope's parents Janet van Dyne and Hank Pym, and Scott's daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.",200000000,"['Marvel Studios', 'Kevin Feige Productions']",464566092,125,Witness the beginning of a new dynasty.,2023,02
4,594767,Shazam! Fury of the Gods,2023-03-15,"['Action', 'Comedy', 'Fantasy', 'Adventure']",English,6.8,1510,2702.593,"Billy Batson and his foster siblings, who transform into superheroes by saying ""Shazam!"", are forced to get back into action and fight the Daughters of Atlas, who they must stop from using a weapon that could destroy the world.",125000000,"['New Line Cinema', 'The Safran Company', 'DC Films', 'Warner Bros. Pictures']",133437105,130,Oh. My. Gods.,2023,03
5,76600,Avatar: The Way of Water,2022-12-14,"['Science Fiction', 'Adventure', 'Action']",English,7.7,7853,2280.912,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",460000000,"['20th Century Studios', 'Lightstorm Entertainment']",2319331580,192,Return to Pandora.,2022,12
6,447365,Guardians of the Galaxy Volume 3,2023-05-03,"['Science Fiction', 'Adventure', 'Action']",English,8.3,683,2520.308,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",250000000,"['Marvel Studios', 'Kevin Feige Productions']",289312702,150,Once more with feeling.,2023,05
7,934433,Scream VI,2023-03-08,"['Horror', 'Mystery', 'Thriller']",English,7.3,1029,1862.283,"Following the latest Ghostface killings, the four survivors leave Woodsboro behind and start a fresh chapter.",35000000,"['Radio Silence', 'Project X Entertainment', 'Spyglass Media Group', 'Paramount']",168541093,123,New York. New rules.,2023,03
8,677179,Creed III,2023-03-01,"['Drama', 'Action']",English,7.3,1298,1894.044,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter who has nothing to lose.",75000000,"['Metro-Goldwyn-Mayer', 'Proximity Media', 'Balboa Productions', 'Outlier Society Productions', 'Chartoff-Winkler Productions']",269000000,116,You can't run from your past.,2023,03
9,493529,Dungeons & Dragons: Honor Among Thieves,2023-03-23,"['Adventure', 'Fantasy', 'Comedy']",English,7.5,964,1655.052,"A charming thief and a band of unlikely adventurers undertake an epic heist to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",151000000,"['Entertainment One', 'Paramount', 'Allspark Pictures', 'Sierra/Affinity']",202484920,134,No experience necessary.,2023,03
12,603692,John Wick: Chapter 4,2023-03-22,"['Action', 'Thriller', 'Crime']",English,7.9,1340,1170.178,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",90000000,"['Thunder Road', '87Eleven', 'Summit Entertainment', 'Studio Babelsberg', 'Lionsgate']",406056266,170,No way back. One way out.,2023,03
13,713704,Evil Dead Rise,2023-04-12,['Horror'],English,7.0,399,1107.559,Two sisters find an ancient vinyl that gives birth to bloodthirsty demons that run amok in a Los Angeles apartment building and thrusts them into a primal battle for survival as they face the most nightmarish version of family imaginable.,15000000,"['New Line Cinema', 'Ghost House Pictures', 'Renaissance Pictures', 'Pacific Renaissance Pictures', 'Wild Atlantic Pictures']",92071490,96,Mommy loves you to death.,2023,04
